entry_order_id,exit_order_id,entry_utc,exit_utc,entry_algorithm_time,exit_algorithm_time,quantity,entry_price,exit_price,exit_limit_price,pnl,hold_seconds,hold_minutes,signal_utc,signal_lag_seconds,signal_price,ema20,rsi14,adx14,price_minus_ema20,es_last,es_vwap,es_vwap_slope,es_vwap_acceleration,es_vwap_acceleration_allowed,es_rolling_high_ready,es_rolling_high_allowed,es_rolling_high_samples,es_rolling_high,es_rolling_high_distance,es_rolling_high_minutes_since,rsi_slope,adx_slope,indicator_slope_allowed,es_higher_low_distance,es_structure_ready,es_structure_allowed,es_structure_score,es_structure_samples,es_structure_higher_low,es_structure_higher_low_distance,es_structure_higher_high,es_structure_higher_high_distance,es_structure_shallow_pullback,es_structure_pullback_from_high,es_structure_rising_vwap,es_structure_vwap_slope,es_structure_above_vwap,es_structure_vwap_distance,es_reclaim_ready,es_reclaim_allowed,es_reclaim_samples,es_reclaim_min_distance_seen,es_reclaim_current_distance,es_vwap_max_distance_allowed,es_minus_vwap,es_session_volume,vix_price,vix_regime,vix_age_seconds,effective_rsi_threshold,effective_pullback_distance,take_profit_distance,take_profit_price,setup_quality_score,setup_quality_allowed,setup_quality_take_profit_boost,entry_veto_points,entry_veto_allowed,entry_veto_reason,slow_risk_points,slow_risk_allowed,entry_risk_tier,entry_quantity_multiplier,option_data_state,active_profile_set,used_0dte,used_1dte,used_no_0dte_fallback,router_reason,long_strategy,strategy_profile,strategy_profile_enabled,long_strategy_allowed,long_strategy_reason,long_strategy_take_profit_multiplier,long_strategy_max_take_profit_distance,option_iv_utc_time,option_iv_age_seconds,option_iv_underlying_price,option_iv_underlying_price_source,option_iv_subscriptions,option_iv_valid_options,option_iv_expiries,option_iv_nearest_expiry,option_iv_nearest_dte,option_iv_atm_strike,option_iv_atm_iv,option_iv_atm_call_iv,option_iv_atm_put_iv,option_iv_atm_put_call_iv_spread,option_iv_0dte,option_iv_1dte,option_iv_7dte,option_iv_30dte,option_iv_vix_like_30d,option_iv_30dte_change_30s,option_iv_30dte_change_60s,option_iv_30dte_change_300s,option_iv_30dte_vol_of_vol_300s,option_iv_1d_minus_30d,option_iv_7d_minus_30d,option_iv_put_iv_down_1pct,option_iv_call_iv_up_1pct,option_iv_put_call_skew_1pct,option_iv_put_call_skew_1pct_change_30s,option_iv_put_call_skew_1pct_change_60s,option_iv_put_call_skew_1pct_change_300s,option_iv_expected_move_1d_points,option_iv_expected_move_7d_points,option_iv_expected_move_30d_points,option_iv_median_option_spread_pct,option_iv_max_option_spread,option_iv_data_quality,option_iv_allowed,option_iv_reason,option_strike_map_utc_time,option_strike_map_age_seconds,option_strike_map_underlying_price,option_strike_map_atm_strike,option_strike_map_atm_straddle_points,option_strike_map_expected_move_position,option_strike_map_target_1_strike,option_strike_map_target_1_distance,option_strike_map_target_2_strike,option_strike_map_target_2_distance,option_strike_map_target_3_strike,option_strike_map_target_3_distance,option_strike_map_call_put_volume_imbalance,option_strike_map_gamma_regime_score,option_strike_map_next_upside_call_volume_distance,option_strike_map_long_breakout_allowed,option_strike_map_long_breakout_reason,option_strike_map_selected_tp_source,option_strike_map_selected_tp_target,option_strike_map_selected_tp_distance,option_strike_map_allowed,option_strike_map_reason,order_book_microstructure_direction,order_book_microstructure_label,order_book_microstructure_confirmation_count,order_book_microstructure_allowed,order_book_microstructure_reason,spx_ema20_distance,spx_ema20_max_distance_allowed,above_vwap_confirmed,es_vwap_slope_allowed,es_higher_low_allowed,higher_timeframe_ema,higher_timeframe_ema_slope,higher_timeframe_trend,hour_utc,mae,mfe,end_trade_drawdown,closed_trade_duration,path_price_sample_count,path_has_intratrade_samples,path_mfe,path_mae,path_mfe_minutes,path_mae_minutes,path_mfe_before_mae,path_positive_before_mae,path_first_positive_minutes,path_mfe_before_mae_points,path_mae_before_mfe_points,path_mfe_after_mae_points,path_configured_tp_distance,path_effective_tp_distance,path_tp_reached,path_tp_reached_before_mae,path_tp_touch_minutes,path_half_tp_touch_minutes,path_mfe_to_tp_ratio,path_pre_mae_mfe_to_tp_ratio,path_first_observed_points,path_first_observed_seconds,path_first_nonzero_move_points,path_first_nonzero_move_seconds,path_first_nonzero_move_positive,path_first_profit_0_5p_minutes,path_first_profit_1_0p_minutes,path_first_profit_1_5p_minutes,path_first_profit_2_0p_minutes,path_first_profit_3_0p_minutes,path_first_profit_4_0p_minutes,path_first_profit_5_0p_minutes,path_mfe_first_5m,path_mae_first_5m,path_mfe_first_15m,path_mae_first_15m,path_mfe_first_30m,path_mae_first_30m,path_mfe_first_60m,path_mae_first_60m
1,2,2026-06-25T05:53:35+00:00,2026-06-25T06:08:31+00:00,2026-06-25T01:53:35.0000000,2026-06-25T02:08:31.0000000,34.0,7427.1,7428.1,7428.1,34.0,896.0,14.933333333333334,2026-06-25T05:53:35+00:00,0.0,7426.85,7483.663006960868,56.43628061317044,18.66625217039756,-56.813006960867824,7483.5,7478.221194232232,0.007744847078928318,0.0023174249376783232,True,True,True,655.0,7487.25,3.75,14.7666666666667,3.9718390048358323,-0.5888179752101936,True,3.25,True,True,3.0,443.0,False,-1.75,False,-1.5,True,2.25,True,0.008763530090798256,True,5.278805767767967,True,True,200.0,2.0790400961907785,5.278805767767967,True,5.278805767768063,60474.0,,disabled,,38.0,0.0,3.2649951345505324,7430.1,49.00205249974801,True,0.0,4.0,True,setup quality 49.00 <= 50.00; ES structure score 3 <= 3; ES structure higher-low -1.75 < 0.25; ES structure higher-high -1.50 < 0.00,0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,pullback_long,pullback_long,True,True,"VALID_0DTE ordered router; ordered ES pullback: trendPrice=7483.50, ema=7483.66, distance=5.28, adx=18.67, rsi=56.44, structure=3",0.90,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-25T05:53:30.6016380Z,4.398362,7472.5,7470.0,72.025,0.03471017008,7475.0,2.5,7544.525,72.025,7475.0,2.5,0.9775760812,0.9712461633,2.5,True,allowed,,,,True,allowed,,,,,,-0.16300696086773625,True,True,True,True,,,True,5,-62.9,76.5,129.2,00:14:56,86,True,2.149999999999636,-1.75,9.416666666666666,2.6666666666666665,False,False,6.666666666666667,0.0,-1.75,2.149999999999636,3.2649951345505324,3.0,False,False,,7.166666666666667,0.7166666666665454,0.0,-0.4500000000007276,10.0,-0.4500000000007276,10.0,False,6.666666666666667,6.666666666666667,7.166666666666667,9.416666666666666,,,,0.0,-1.75,2.149999999999636,-1.75,2.149999999999636,-1.75,2.149999999999636,-1.75
3,4,2026-06-25T07:32:01+00:00,2026-06-25T07:44:06+00:00,2026-06-25T03:32:01.0000000,2026-06-25T03:44:06.0000000,34.0,7440.9,7441.9,7441.9,34.0,725.0,12.083333333333334,2026-06-25T07:32:01+00:00,0.0,7440.65,7479.68920621719,67.56924925988709,19.48020702854867,-39.03920621719044,7488.75,7478.824079804652,0.1470177109395064,0.15622121070834982,True,True,True,1089.0,7495.75,7.0,1.26666666666667,5.535097120779761,1.2621442456281573,True,16.25,True,True,2.0,737.0,False,-2.0,True,15.25,False,7.0,False,0.03194832763468103,True,9.925920195348105,True,True,403.0,-5.610241310848571,9.925920195348105,True,9.925920195348226,88867.0,,disabled,,30.0,0.0,14.0625,7454.7,63.014044412477304,True,0.16744691180429475,4.0,True,"ES structure score 2 <= 3; ES structure higher-low -2.00 < 0.25; ES pullback from high 7.00 >= 5.00; ES recent high rejection distance 7.00 >= 5.00, minutes 1.27 <= 15.00",0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,squeeze_long,squeeze_long,True,True,"VALID_0DTE ordered router; ordered ES squeeze: negativeGamma=False, highVol=False, aboveExpectedMove=False, distance=9.93, slope=0.1470, adx=19.48, rsi=67.57, structure=3, orderBookBullish=False",1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-25T07:32:00.7048050Z,0.295195,7486.0,7485.0,72.4,0.0138121547,7500.0,14.0,7558.4,72.4,7490.0,4.0,0.9704721532,0.9647793854,4.0,True,allowed,target_1_next_strike,7500.0,11.25,True,allowed,,,,,,9.060793782810151,True,True,True,True,,,True,7,-103.7,66.3,119.0,00:12:05,55,True,1.75,-2.5499999999992724,11.733333333333333,6.233333333333333,False,True,0.23333333333333334,0.4500000000007276,-2.5499999999992724,1.75,14.0625,13.800000000000182,False,False,,,0.12681159420289687,0.03260869565222621,0.25,14.0,0.25,14.0,True,7.733333333333333,9.983333333333333,11.733333333333333,,,,,0.4500000000007276,-2.25,1.75,-2.5499999999992724,1.75,-2.5499999999992724,1.75,-2.5499999999992724
5,6,2026-06-25T07:44:06+00:00,2026-06-25T08:01:01+00:00,2026-06-25T03:44:06.0000000,2026-06-25T04:01:01.0000000,34.0,7442.6,7443.6,7443.6,34.0,1015.0,16.916666666666668,2026-06-25T07:44:06+00:00,0.0,7442.35,7486.098336411616,50.37801787097375,30.219098957950234,-43.74833641161604,7485.75,7479.79258359029,0.06069772711571297,-0.0276054690435352,True,True,True,1347.0,7495.75,10.0,13.35,,,True,2.25,True,True,3.0,1006.0,True,10.0,False,-3.5,False,6.5,True,0.08426258797070285,True,5.957416409710435,True,True,565.0,3.8610047748415246,5.957416409710435,True,5.957416409710277,99563.0,,disabled,,38.0,0.0,3.4701441189351296,7445.8,60.92034557442177,True,0.05113030969009837,4.0,True,"ES structure score 3 <= 3; ES structure higher-high -3.50 < 0.00; ES pullback from high 6.50 >= 5.00; ES recent high rejection distance 10.00 >= 5.00, minutes 13.35 <= 15.00",0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,pullback_long,pullback_long,True,True,"VALID_0DTE ordered router; ordered ES pullback: trendPrice=7485.75, ema=7486.10, distance=5.96, adx=30.22, rsi=50.38, structure=3",0.90,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-25T07:44:03.1125860Z,2.887414,7487.5,7485.0,71.15,0.03513703443,7500.0,12.5,7558.65,71.15,7490.0,2.5,0.9707610721,0.9651532513,2.5,True,allowed,,,,True,allowed,,,,,,-0.34833641161654777,True,True,True,True,,,True,7,-117.3,35.7,117.3,00:16:55,70,True,1.0499999999992724,-3.350000000000364,16.916666666666668,11.9,False,False,15.65,0.0,-3.350000000000364,1.0499999999992724,3.4701441189351296,3.199999999999818,False,False,,,0.3281249999997913,0.0,-0.4500000000007276,9.0,-0.4500000000007276,9.0,False,16.9,16.916666666666668,,,,,,0.0,-2.850000000000364,0.0,-3.350000000000364,1.0499999999992724,-3.350000000000364,1.0499999999992724,-3.350000000000364
7,8,2026-06-25T08:01:02+00:00,2026-06-25T12:30:36+00:00,2026-06-25T04:01:02.0000000,2026-06-25T08:30:36.0000000,34.0,7443.9,7444.9,7444.9,34.0,16174.0,269.56666666666666,2026-06-25T08:01:02+00:00,0.0,7443.65,7487.286198603162,44.7095831207895,25.299670533657764,-43.636198603162484,7486.25,7480.322158545537,0.023999854809215147,-0.0022495376084027165,True,True,True,1556.0,7492.75,6.5,30.0,,,True,1.25,True,True,4.0,986.0,True,1.5,False,-2.25,True,4.0,True,0.03428553297735053,True,5.927841454463328,True,True,449.0,4.748640050974313,5.927841454463328,True,5.927841454463305,106266.0,,disabled,,38.0,0.0,3.2174721400260293,7446.9,53.03337186851396,True,0.0,2.0,True,ES structure higher-high -2.25 < 0.00; RSI 44.71 <= 45.00,0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,pullback_long,pullback_long,True,True,"VALID_0DTE ordered router; ordered ES pullback: trendPrice=7486.25, ema=7487.29, distance=5.93, adx=25.30, rsi=44.71, structure=4",0.90,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-25T08:01:01.4868430Z,0.513157,7489.0,7490.0,73.75,-0.01355932203,7500.0,11.0,7562.75,73.75,7490.0,1.0,0.9691314719,0.9632343864,1.0,True,allowed,,,,True,allowed,,,,,,-1.0361986031620245,True,True,True,True,,,True,8,-586.5,59.5,646.0,04:29:34,1080,True,1.6500000000005457,-17.25,269.56666666666666,209.46666666666667,False,True,1.2166666666666666,1.25,-17.25,1.6500000000005457,3.2174721400260293,3.0,False,False,,269.56666666666666,0.5500000000001819,0.4166666666666667,-0.049999999999272404,13.0,-0.049999999999272404,13.0,False,1.2166666666666666,1.2166666666666666,269.56666666666666,,,,,1.25,-2.0499999999992724,1.25,-7.549999999999272,1.25,-8.75,1.25,-13.549999999999272
9,10,2026-06-25T13:30:53+00:00,2026-06-29T13:45:51+00:00,2026-06-25T09:30:53.0000000,2026-06-29T09:45:51.0000000,34.0,7442.3,7443.3,7443.3,34.0,346498.0,5774.966666666666,2026-06-25T13:30:53+00:00,0.0,7442.1,7446.512728822067,80.40760470421343,31.172532780567007,-4.412728822067038,7446.5,7441.961549863085,0.018425965557376838,0.013503302289665732,True,True,True,1792.0,7456.5,10.0,2.55,1.9122538200000092,1.3497632044819468,True,8.75,True,True,3.0,1196.0,True,13.25,True,8.25,False,10.0,False,-0.000731601078884387,True,4.53845013691518,True,True,599.0,-4.093487312570121,4.53845013691518,True,4.538450136915344,1194170.0,,disabled,,38.0,0.0,3.6,7445.7,63.30586463886191,True,0.1836591466034395,4.0,True,"ES structure score 3 <= 3; ES pullback from high 10.00 >= 5.00; ES recent high rejection distance 10.00 >= 5.00, minutes 2.55 <= 15.00; RSI 80.41 >= 70.00",0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,pullback_long,pullback_long,True,True,"VALID_0DTE ordered router; ordered ES pullback: trendPrice=7446.50, ema=7446.51, distance=4.54, adx=31.17, rsi=80.41, structure=3",0.90,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-25T13:30:52.7821570Z,0.217843,7486.75,7485.0,69.65,0.02512562814,7500.0,13.25,7556.4,69.65,7490.0,3.25,0.8403361345,0.8734915172,3.25,True,allowed,,,,True,allowed,,,,,,-0.012728822067555663,True,True,True,True,,,True,13,-4394.5,57.8,4394.5,4.00:14:58,10983,True,1.699999999999818,-128.94999999999982,5774.966666666666,847.1333333333333,False,False,5774.633333333333,0.0,-128.94999999999982,1.699999999999818,3.6,3.399999999999636,False,False,,5774.966666666666,0.5,0.0,-0.6999999999998181,7.0,-0.6999999999998181,7.0,False,5774.883333333333,5774.966666666666,5774.966666666666,,,,,0.0,-21.699999999999818,0.0,-54.69999999999982,0.0,-96.19999999999982,0.0,-96.19999999999982
11,12,2026-06-29T13:50:21+00:00,2026-06-29T13:50:36+00:00,2026-06-29T09:50:21.0000000,2026-06-29T09:50:36.0000000,17.0,7432.9,7435.3,7435.3,40.80000000000928,15.0,0.25,2026-06-29T13:50:21+00:00,0.0,7432.7,7498.834486853443,61.41503733729703,19.72260244683089,-66.13448685344338,7498.75,7463.787796815264,0.04125151308474233,-0.010429474561048955,True,True,True,1492.0,7502.0,3.25,4.16666666666667,-2.4402158765071116,0.6874277802257679,True,2.0,True,True,5.0,1010.0,True,4.75,True,2.75,True,3.25,True,0.04394944441857558,True,34.96220318473571,True,True,512.0,33.38727822311383,34.96220318473571,True,34.9622031847357,1083418.0,,disabled,,38.0,0.0,2.4,7435.1,76.12128843080988,True,0.8956271350449936,1.0,True,RSI slope -2.4402 <= -2.0000,0.0,True,standard,0.5,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,charm_pin_pullback_long,charm_pin_pullback_long,True,True,"positive gamma/charm pin pullback: expectedMovePosition=0.0079, netCharm30m=-22745874, lowerFade=False, pullback=True, dynamicMaxVwapDistance=15.87",0.80,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-29T13:50:18.5653600Z,2.43464,7475.5,7475.0,63.475,0.007877116975,7500.0,24.5,7538.975,63.475,7480.0,4.5,0.9478725364,0.9656334103,4.5,True,allowed,,,,True,allowed,,,,,,-0.08448685344300313,True,True,True,True,,,True,13,-3.4,69.7,28.9,00:00:15,2,True,2.4000000000005457,-0.1999999999998181,0.25,0.0,False,False,0.16666666666666666,0.0,-0.1999999999998181,2.4000000000005457,2.4,2.2000000000007276,True,False,0.25,0.16666666666666666,1.0909090909089783,0.0,1.6000000000003638,10.0,1.6000000000003638,10.0,True,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,,,,2.4000000000005457,-0.1999999999998181,2.4000000000005457,-0.1999999999998181,2.4000000000005457,-0.1999999999998181,2.4000000000005457,-0.1999999999998181
13,14,2026-06-29T13:51:07+00:00,2026-06-29T13:53:26+00:00,2026-06-29T09:51:07.0000000,2026-06-29T09:53:26.0000000,17.0,7442.9,7445.3,7445.3,40.80000000000928,139.0,2.316666666666667,2026-06-29T13:51:07+00:00,0.0,7442.7,7498.7445657990675,51.23378575111737,18.896955470279334,-56.04456579906764,7498.25,7463.816440610596,0.039760818738367405,-0.014853109234304804,True,True,True,1497.0,7502.0,3.75,4.93333333333333,-5.261662344104265,0.17357642925253616,True,1.5,True,True,5.0,1014.0,True,4.75,True,2.75,True,3.75,True,0.04354724844982312,True,34.433559389404216,True,True,521.0,33.38727822311383,34.433559389404216,True,34.433559389403854,1084318.0,,disabled,,38.0,0.0,2.4,7445.1,71.34256754359313,True,0.6301426413107296,1.0,True,RSI slope -5.2617 <= -2.0000,0.0,True,standard,0.5,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,charm_pin_pullback_long,charm_pin_pullback_long,True,True,"positive gamma/charm pin pullback: expectedMovePosition=-0.0266, netCharm30m=13014317, lowerFade=False, pullback=True, dynamicMaxVwapDistance=16.43",0.80,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-29T13:51:03.6173430Z,3.382657,7483.25,7485.0,65.725,-0.02662609357,7500.0,16.75,7548.975,65.725,7500.0,16.75,0.9405028852,0.9664106489,16.75,True,allowed,target_1_next_strike,7500.0,2.0,True,allowed,,,,,,-0.4945657990671565,True,True,True,True,,,True,13,-15.3,40.8,28.9,00:02:19,10,True,2.4000000000005457,-0.8999999999996362,2.316666666666667,1.9,False,True,0.15,0.6000000000003638,-0.8999999999996362,2.4000000000005457,2.4,2.2000000000007276,True,False,2.316666666666667,2.15,1.0909090909089783,0.27272727272734787,0.6000000000003638,9.0,0.6000000000003638,9.0,True,0.15,2.15,2.316666666666667,2.316666666666667,,,,2.4000000000005457,-0.8999999999996362,2.4000000000005457,-0.8999999999996362,2.4000000000005457,-0.8999999999996362,2.4000000000005457,-0.8999999999996362
15,16,2026-06-29T14:30:11+00:00,2026-06-29T14:30:21+00:00,2026-06-29T10:30:11.0000000,2026-06-29T10:30:21.0000000,17.0,7407.2,7409.6,7409.6,40.80000000000928,10.0,0.16666666666666666,2026-06-29T14:30:11+00:00,0.0,7407.0,7498.17115868861,51.32425311342976,17.392330503298982,-91.17115868861038,7496.5,7465.39728164032,0.042255924166899085,-0.006219295117658976,True,True,True,1561.0,7500.5,4.0,5.96666666666667,-2.0277820634819568,0.15413989652130497,True,0.0,True,True,5.0,1054.0,True,3.5,True,2.75,True,4.0,True,0.04195496249590291,True,31.102718359679766,True,True,529.0,31.102718359679766,31.102718359679766,True,31.102718359679784,1138168.0,,disabled,,38.0,0.0,2.4,7409.4,66.8683387950721,True,0.3815743775040061,2.0,True,RSI slope -2.0278 <= -2.0000; ADX 17.39 <= 18.00,0.0,True,standard,0.5,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,charm_pin_pullback_long,charm_pin_pullback_long,True,True,"positive gamma/charm pin pullback: expectedMovePosition=0.0080, netCharm30m=612897900, lowerFade=False, pullback=True, dynamicMaxVwapDistance=15.58",0.80,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-29T14:30:08.1108590Z,2.889141,7450.5,7450.0,62.325,0.008022462896,7475.0,24.5,7512.825,62.325,,,0.7122574862,0.6437194035,,False,no_upside_call_volume_strike,,,,True,allowed,,,,,,-1.671158688610243,True,True,True,True,,,True,14,-3.4,40.8,3.4,00:00:10,2,True,2.4000000000005457,-0.1999999999998181,0.16666666666666666,0.0,False,False,0.16666666666666666,0.0,-0.1999999999998181,2.4000000000005457,2.4,2.199999999999818,True,False,0.16666666666666666,0.16666666666666666,1.0909090909094292,0.0,0.0,5.0,2.4000000000005457,10.0,True,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,2.4000000000005457,-0.1999999999998181,2.4000000000005457,-0.1999999999998181,2.4000000000005457,-0.1999999999998181,2.4000000000005457,-0.1999999999998181
17,18,2026-06-29T14:30:23+00:00,2026-06-29T14:30:56+00:00,2026-06-29T10:30:23.0000000,2026-06-29T10:30:56.0000000,17.0,7409.7,7412.1,7412.1,40.80000000000928,33.0,0.55,2026-06-29T14:30:23+00:00,0.0,7409.5,7498.17115868861,51.32425311342976,17.392330503298982,-88.67115868861038,7496.25,7465.4107308779285,0.04175269532284815,-0.008404424395519588,True,True,True,1562.0,7500.5,4.25,6.16666666666667,-2.0277820634819568,0.15413989652130497,True,0.0,True,True,5.0,1055.0,True,3.25,True,3.0,True,4.25,True,0.04215226210758623,True,30.839269122071773,True,True,530.0,30.839269122071773,30.839269122071773,True,30.839269122071528,1138658.0,,disabled,,38.0,0.0,2.4,7411.9,66.79285446846447,True,0.37738080380358163,2.0,True,RSI slope -2.0278 <= -2.0000; ADX 17.39 <= 18.00,0.0,True,standard,0.5,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,charm_pin_pullback_long,charm_pin_pullback_long,True,True,"positive gamma/charm pin pullback: expectedMovePosition=0.0080, netCharm30m=614348970, lowerFade=False, pullback=True, dynamicMaxVwapDistance=15.59",0.80,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-29T14:30:18.1205920Z,4.879408,7450.5,7450.0,62.375,0.008016032064,7475.0,24.5,7512.875,62.375,,,0.7124336764,0.6465436781,,False,no_upside_call_volume_strike,,,,True,allowed,,,,,,-1.921158688610243,True,True,True,True,,,True,14,-34.0,47.6,34.0,00:00:33,3,True,2.4000000000005457,-0.6999999999998181,0.55,0.13333333333333333,False,False,0.55,0.0,-0.6999999999998181,2.4000000000005457,2.4,2.199999999999818,True,False,0.55,0.55,1.0909090909094292,0.0,-0.6999999999998181,8.0,-0.6999999999998181,8.0,False,0.55,0.55,0.55,0.55,,,,2.4000000000005457,-0.6999999999998181,2.4000000000005457,-0.6999999999998181,2.4000000000005457,-0.6999999999998181,2.4000000000005457,-0.6999999999998181
19,20,2026-06-29T14:31:29+00:00,2026-06-29T14:33:21+00:00,2026-06-29T10:31:29.0000000,2026-06-29T10:33:21.0000000,17.0,7412.2,7414.6,7414.6,40.80000000000928,112.0,1.8666666666666667,2026-06-29T14:31:29+00:00,0.0,7412.0,7497.914057351901,41.003968187036136,16.67851933515835,-85.91405735190074,7495.75,7465.457948994061,0.04189251139934256,-0.00807087060195344,True,True,True,1570.0,7500.5,4.75,7.26666666666667,-3.691354993313508,-0.07279409718012654,True,0.0,True,True,5.0,1070.0,True,2.75,True,2.0,True,4.75,True,0.042675134229022534,True,30.292051005939264,True,True,539.0,30.292051005939264,30.292051005939264,True,30.292051005939356,1140377.0,,disabled,,38.0,0.0,2.4,7414.4,60.19336922321808,True,0.010742734623226436,3.0,True,RSI slope -3.6914 <= -2.0000; ADX 16.68 <= 18.00; RSI 41.00 <= 45.00,0.0,True,standard,0.5,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,charm_pin_pullback_long,charm_pin_pullback_long,True,True,"positive gamma/charm pin pullback: expectedMovePosition=0.0818, netCharm30m=781869963, lowerFade=False, pullback=True, dynamicMaxVwapDistance=14.52",0.80,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-29T14:31:28.1934140Z,0.806586,7454.75,7450.0,58.075,0.08179078777,7475.0,20.25,7512.825,58.075,,,0.7171675331,0.6607144092,,False,no_upside_call_volume_strike,,,,True,allowed,,,,,,-2.1640573519009747,True,True,True,True,,,True,14,-76.5,59.5,102.0,00:01:52,9,True,2.4000000000005457,-3.699999999999818,1.8666666666666667,1.0333333333333334,False,True,0.03333333333333333,1.0,-3.699999999999818,2.4000000000005457,2.4,2.199999999999818,True,False,1.8666666666666667,1.8666666666666667,1.0909090909094292,0.4545454545454921,0.3000000000001819,2.0,0.3000000000001819,2.0,True,0.5333333333333333,0.5333333333333333,1.8666666666666667,1.8666666666666667,,,,2.4000000000005457,-3.699999999999818,2.4000000000005457,-3.699999999999818,2.4000000000005457,-3.699999999999818,2.4000000000005457,-3.699999999999818
