entry_order_id,exit_order_id,entry_utc,exit_utc,entry_algorithm_time,exit_algorithm_time,quantity,entry_price,exit_price,exit_limit_price,pnl,hold_seconds,hold_minutes,signal_utc,signal_lag_seconds,signal_price,ema20,rsi14,adx14,price_minus_ema20,es_last,es_vwap,es_vwap_slope,es_vwap_acceleration,es_vwap_acceleration_allowed,es_rolling_high_ready,es_rolling_high_allowed,es_rolling_high_samples,es_rolling_high,es_rolling_high_distance,es_rolling_high_minutes_since,rsi_slope,adx_slope,indicator_slope_allowed,es_higher_low_distance,es_structure_ready,es_structure_allowed,es_structure_score,es_structure_samples,es_structure_higher_low,es_structure_higher_low_distance,es_structure_higher_high,es_structure_higher_high_distance,es_structure_shallow_pullback,es_structure_pullback_from_high,es_structure_rising_vwap,es_structure_vwap_slope,es_structure_above_vwap,es_structure_vwap_distance,es_reclaim_ready,es_reclaim_allowed,es_reclaim_samples,es_reclaim_min_distance_seen,es_reclaim_current_distance,es_vwap_max_distance_allowed,es_minus_vwap,es_session_volume,vix_price,vix_regime,vix_age_seconds,effective_rsi_threshold,effective_pullback_distance,take_profit_distance,take_profit_price,setup_quality_score,setup_quality_allowed,setup_quality_take_profit_boost,entry_veto_points,entry_veto_allowed,entry_veto_reason,slow_risk_points,slow_risk_allowed,entry_risk_tier,entry_quantity_multiplier,option_data_state,active_profile_set,used_0dte,used_1dte,used_no_0dte_fallback,router_reason,long_strategy,strategy_profile,strategy_profile_enabled,long_strategy_allowed,long_strategy_reason,long_strategy_take_profit_multiplier,long_strategy_max_take_profit_distance,option_iv_utc_time,option_iv_age_seconds,option_iv_underlying_price,option_iv_underlying_price_source,option_iv_subscriptions,option_iv_valid_options,option_iv_expiries,option_iv_nearest_expiry,option_iv_nearest_dte,option_iv_atm_strike,option_iv_atm_iv,option_iv_atm_call_iv,option_iv_atm_put_iv,option_iv_atm_put_call_iv_spread,option_iv_0dte,option_iv_1dte,option_iv_7dte,option_iv_30dte,option_iv_vix_like_30d,option_iv_30dte_change_30s,option_iv_30dte_change_60s,option_iv_30dte_change_300s,option_iv_30dte_vol_of_vol_300s,option_iv_1d_minus_30d,option_iv_7d_minus_30d,option_iv_put_iv_down_1pct,option_iv_call_iv_up_1pct,option_iv_put_call_skew_1pct,option_iv_put_call_skew_1pct_change_30s,option_iv_put_call_skew_1pct_change_60s,option_iv_put_call_skew_1pct_change_300s,option_iv_expected_move_1d_points,option_iv_expected_move_7d_points,option_iv_expected_move_30d_points,option_iv_median_option_spread_pct,option_iv_max_option_spread,option_iv_data_quality,option_iv_allowed,option_iv_reason,option_strike_map_utc_time,option_strike_map_age_seconds,option_strike_map_underlying_price,option_strike_map_atm_strike,option_strike_map_atm_straddle_points,option_strike_map_expected_move_position,option_strike_map_target_1_strike,option_strike_map_target_1_distance,option_strike_map_target_2_strike,option_strike_map_target_2_distance,option_strike_map_target_3_strike,option_strike_map_target_3_distance,option_strike_map_call_put_volume_imbalance,option_strike_map_gamma_regime_score,option_strike_map_next_upside_call_volume_distance,option_strike_map_long_breakout_allowed,option_strike_map_long_breakout_reason,option_strike_map_selected_tp_source,option_strike_map_selected_tp_target,option_strike_map_selected_tp_distance,option_strike_map_allowed,option_strike_map_reason,order_book_microstructure_direction,order_book_microstructure_label,order_book_microstructure_confirmation_count,order_book_microstructure_allowed,order_book_microstructure_reason,spx_ema20_distance,spx_ema20_max_distance_allowed,above_vwap_confirmed,es_vwap_slope_allowed,es_higher_low_allowed,higher_timeframe_ema,higher_timeframe_ema_slope,higher_timeframe_trend,hour_utc,mae,mfe,end_trade_drawdown,closed_trade_duration,path_price_sample_count,path_has_intratrade_samples,path_mfe,path_mae,path_mfe_minutes,path_mae_minutes,path_mfe_before_mae,path_positive_before_mae,path_first_positive_minutes,path_mfe_before_mae_points,path_mae_before_mfe_points,path_mfe_after_mae_points,path_configured_tp_distance,path_effective_tp_distance,path_tp_reached,path_tp_reached_before_mae,path_tp_touch_minutes,path_half_tp_touch_minutes,path_mfe_to_tp_ratio,path_pre_mae_mfe_to_tp_ratio,path_first_observed_points,path_first_observed_seconds,path_first_nonzero_move_points,path_first_nonzero_move_seconds,path_first_nonzero_move_positive,path_first_profit_0_5p_minutes,path_first_profit_1_0p_minutes,path_first_profit_1_5p_minutes,path_first_profit_2_0p_minutes,path_first_profit_3_0p_minutes,path_first_profit_4_0p_minutes,path_first_profit_5_0p_minutes,path_mfe_first_5m,path_mae_first_5m,path_mfe_first_15m,path_mae_first_15m,path_mfe_first_30m,path_mae_first_30m,path_mfe_first_60m,path_mae_first_60m
1,2,2026-06-25T04:07:09+00:00,2026-06-25T05:05:26+00:00,2026-06-25T00:07:09.0000000,2026-06-25T01:05:26.0000000,34.0,7422.1,7423.1,7423.1,34.0,3497.0,58.28333333333333,2026-06-25T04:07:09+00:00,0.0,7421.85,7481.553520015755,38.88850648320179,15.966924169730957,-59.70352001575429,7481.5,7477.243814560525,0.007538137079224388,0.0069471732750847805,True,True,True,215.0,7485.0,3.5,27.0333333333333,3.689650406103571,-2.5832723533261217,True,5.25,True,True,4.0,205.0,False,-0.5,True,1.5,True,0.75,True,0.005122840419217272,True,4.256185439475475,True,True,195.0,-0.9557435543278084,4.256185439475475,True,4.256185439475303,48501.0,,disabled,,38.0,0.0,2.64560863752359,7424.5,44.80016439311878,True,0.0,5.0,True,setup quality 44.80 <= 50.00; ES structure higher-low -0.50 < 0.25; ADX slope -2.5833 <= -1.0000; ADX 15.97 <= 18.00; RSI 38.89 <= 45.00,0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,pullback_long,pullback_long,True,True,"VALID_0DTE ordered router; ordered ES pullback: trendPrice=7481.50, ema=7481.55, distance=4.26, adx=15.97, rsi=38.89, structure=4",0.90,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-25T04:07:04.4281340Z,4.571866,7467.25,7465.0,72.2,0.0311634349,7475.0,7.75,7539.45,72.2,7475.0,7.75,0.9692307692,0.9654202433,7.75,True,allowed,,,,True,allowed,,,,,,-0.05352001575488641,True,True,True,True,,,True,4,-253.3,52.7,272.0,00:58:17,239,True,1.0499999999992724,-7.450000000000728,58.2,27.1,False,True,0.35,0.5499999999992724,-7.450000000000728,1.0499999999992724,2.64560863752359,2.399999999999636,False,False,,,0.43749999999976313,0.22916666666639823,-0.3500000000003638,6.0,-0.3500000000003638,6.0,False,0.6,58.2,,,,,,0.5499999999992724,-1.3500000000003638,0.5499999999992724,-4.75,0.5499999999992724,-7.450000000000728,1.0499999999992724,-7.450000000000728
3,4,2026-06-25T05:07:57+00:00,2026-06-25T05:23:51+00:00,2026-06-25T01:07:57.0000000,2026-06-25T01:23:51.0000000,34.0,7424.1,7425.1,7425.1,34.0,954.0,15.9,2026-06-25T05:07:57+00:00,0.0,7423.85,7484.327986546059,38.67584778112113,68.98470734504859,-60.47798654605867,7484.25,7477.70975333119,0.011247690929792414,0.003992840210322357,True,True,True,649.0,7484.5,0.25,0.183333333333333,-6.082094211498408,8.511559772926748,True,4.5,True,True,4.0,452.0,False,-1.25,True,0.0,True,0.25,True,0.010970153038138196,True,6.54024666881006,True,True,230.0,2.124667262252042,6.54024666881006,True,6.540246668810141,55986.0,,disabled,,38.0,0.0,3.6,7427.5,52.1329089769516,True,0.0,3.0,True,ES structure higher-low -1.25 < 0.25; RSI slope -6.0821 <= -2.0000; RSI 38.68 <= 45.00,0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,pullback_long,pullback_long,True,True,"VALID_0DTE ordered router; ordered ES pullback: trendPrice=7484.25, ema=7484.33, distance=6.54, adx=68.98, rsi=38.68, structure=4",0.90,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-25T05:07:56.3033670Z,0.696633,7468.75,7470.0,74.3,-0.01682368775,7475.0,6.25,7543.05,74.3,7475.0,6.25,0.9791981846,0.9731666498,6.25,True,allowed,,,,True,allowed,,,,,,-0.07798654605924854,True,True,True,True,,,True,5,-42.5,52.7,71.4,00:15:54,75,True,1.0499999999992724,-1.25,9.05,4.3,False,True,0.55,0.5499999999992724,-1.25,1.0499999999992724,3.6,3.399999999999636,False,False,,,0.30882352941158375,0.16176470588215625,-0.25,3.0,-0.25,3.0,False,0.55,9.05,,,,,,0.5499999999992724,-1.25,1.0499999999992724,-1.25,1.0499999999992724,-1.25,1.0499999999992724,-1.25
5,6,2026-06-25T05:24:31+00:00,2026-06-25T05:37:01+00:00,2026-06-25T01:24:31.0000000,2026-06-25T01:37:01.0000000,34.0,7426.6,7427.6,7427.6,34.0,750.0,12.5,2026-06-25T05:24:31+00:00,0.0,7426.35,7485.018866251691,48.48370658868962,48.49876383281308,-58.668866251690815,7485.0,7477.923017592512,0.01115984693058691,-0.0026233514896548404,True,True,True,649.0,7486.75,1.75,8.28333333333333,15.685351587037163,33.741389042932674,True,1.5,True,True,5.0,428.0,True,2.0,True,0.75,True,1.75,True,0.012892802935129736,True,7.076982407487651,True,True,206.0,5.606960669951425,7.076982407487651,True,7.076982407487776,57695.0,,disabled,,38.0,0.0,3.6,7430.0,62.54118340028946,True,0.14117685557163676,0.0,True,no entry-veto points,0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,pullback_long,pullback_long,True,True,"VALID_0DTE ordered router; ordered ES pullback: trendPrice=7485.00, ema=7485.02, distance=7.08, adx=48.50, rsi=48.48, structure=5",0.90,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-25T05:24:29.6931280Z,1.306872,7471.75,7470.0,72.3,0.02420470263,7475.0,3.25,7544.05,72.3,7475.0,3.25,0.9794546134,0.9739798921,3.25,True,allowed,,,,True,allowed,,,,,,-0.018866251690878376,True,True,True,True,,,True,5,-28.9,86.7,68.0,00:12:30,56,True,2.5499999999992724,-0.8500000000003638,10.483333333333333,1.4833333333333334,False,False,2.2333333333333334,0.0,-0.8500000000003638,2.5499999999992724,3.6,3.399999999999636,False,False,,7.733333333333333,0.7499999999998662,0.0,-0.4500000000007276,14.0,-0.4500000000007276,14.0,False,3.2333333333333334,3.7333333333333334,4.983333333333333,9.483333333333333,,,,1.5499999999992724,-0.8500000000003638,2.5499999999992724,-0.8500000000003638,2.5499999999992724,-0.8500000000003638,2.5499999999992724,-0.8500000000003638
7,8,2026-06-25T05:38:32+00:00,2026-06-25T06:11:46+00:00,2026-06-25T01:38:32.0000000,2026-06-25T02:11:46.0000000,34.0,7428.6,7429.6,7429.6,34.0,1994.0,33.233333333333334,2026-06-25T05:38:32+00:00,0.0,7428.25,7487.111757805065,40.6026522451718,43.46405822171349,-58.86175780506528,7487.0,7478.100993601679,0.011093861781220146,-0.00605709211830517,True,True,True,640.0,7487.25,0.25,0.0166666666666667,-18.53478025685259,6.750650840112179,True,3.25,True,True,5.0,438.0,True,0.25,True,1.0,True,0.25,True,0.012095802757813384,True,8.899006398320864,True,True,240.0,5.68068915703603,8.899006398320864,True,8.899006398321035,59078.0,,disabled,,38.0,0.0,3.6,7431.9,59.624677012606966,True,0.0,2.0,True,RSI slope -18.5348 <= -2.0000; RSI 40.60 <= 45.00,0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,pullback_long,pullback_long,True,True,"VALID_0DTE ordered router; ordered ES pullback: trendPrice=7487.00, ema=7487.11, distance=8.90, adx=43.46, rsi=40.60, structure=5",0.90,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-25T05:38:27.4302520Z,4.569748,7473.5,7475.0,74.6,-0.02010723861,7475.0,1.5,7548.1,74.6,7475.0,1.5,0.9778503994,0.9712564995,1.5,True,allowed,,,,True,allowed,,,,,,-0.11175780506538613,True,True,True,True,,,True,5,-113.9,69.7,183.6,00:33:14,159,True,2.0499999999992724,-3.25,4.216666666666667,17.716666666666665,True,True,1.7166666666666666,2.0499999999992724,-0.4500000000007276,1.25,3.6,3.2999999999992724,False,False,,4.216666666666667,0.6212121212120377,0.6212121212120377,-0.4500000000007276,13.0,-0.4500000000007276,13.0,False,1.7166666666666666,1.9666666666666666,1.9666666666666666,4.216666666666667,,,,2.0499999999992724,-0.4500000000007276,2.0499999999992724,-2.350000000000364,2.0499999999992724,-3.25,2.0499999999992724,-3.25
9,10,2026-06-25T07:09:32+00:00,2026-06-25T07:20:41+00:00,2026-06-25T03:09:32.0000000,2026-06-25T03:20:41.0000000,34.0,7438.1,7440.8,7440.8,91.79999999999382,669.0,11.15,2026-06-25T07:09:32+00:00,0.0,7437.85,7482.050463695141,45.28235185411104,13.987770971876472,-44.20046369514057,7482.0,7478.172560817806,0.0074610686705656555,0.013582319844386834,True,True,True,980.0,7482.75,0.75,0.316666666666667,5.685773668591715,-2.911351210923715,True,7.25,True,True,4.0,697.0,True,1.5,True,4.5,True,0.75,False,-0.004335841948889928,True,3.8274391821946168,True,True,359.0,-3.4024033256252255,3.8274391821946168,True,3.8274391821942118,77280.0,,disabled,,38.0,0.0,2.6826085340906767,7440.5,47.00867317837197,True,0.0,3.0,True,setup quality 47.01 <= 50.00; ADX slope -2.9114 <= -1.0000; ADX 13.99 <= 18.00,0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,pullback_long,pullback_long,True,True,"VALID_0DTE ordered router; ordered ES pullback: trendPrice=7482.00, ema=7482.05, distance=3.83, adx=13.99, rsi=45.28, structure=4",0.90,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-25T07:09:31.1532410Z,0.846759,7483.0,7485.0,74.525,-0.026836632,7500.0,17.0,7557.525,74.525,7490.0,7.0,0.9729140722,0.9663376304,7.0,True,allowed,,,,True,allowed,,,,,,-0.05046369514116509,True,True,True,True,,,True,7,-83.3,93.5,83.3,00:11:09,45,True,2.699999999999818,-2.25,11.15,1.7166666666666666,False,False,7.466666666666667,0.0,-2.25,2.699999999999818,2.6826085340906767,2.399999999999636,True,False,11.15,7.966666666666667,1.1250000000000948,0.0,-0.75,13.0,-0.75,13.0,False,7.466666666666667,7.966666666666667,10.966666666666667,11.15,,,,0.0,-2.25,2.699999999999818,-2.25,2.699999999999818,-2.25,2.699999999999818,-2.25
11,12,2026-06-25T07:31:01+00:00,2026-06-25T07:42:46+00:00,2026-06-25T03:31:01.0000000,2026-06-25T03:42:46.0000000,34.0,7439.9,7442.4,7442.4,85.0,705.0,11.75,2026-06-25T07:31:01+00:00,0.0,7439.65,7492.948701494817,47.8357795283315,52.15030578235645,-53.29870149481758,7492.75,7478.576886987958,0.09447870675649102,0.10385141285664878,True,True,True,1064.0,7495.75,3.0,0.266666666666667,1.12751129678523,7.581379360128739,True,20.25,True,True,4.0,704.0,False,-2.0,True,15.25,True,3.0,True,0.019824597392519818,True,14.173113012042645,True,True,373.0,-5.610241310848571,14.173113012042645,True,14.17311301204245,86858.0,,disabled,,38.0,0.0,2.4,7442.1,76.07458072904154,True,0.8930322627245302,1.0,True,ES structure higher-low -2.00 < 0.25,0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,charm_pin_pullback_long,charm_pin_pullback_long,True,True,"positive gamma/charm pin pullback: expectedMovePosition=0.0000, netCharm30m=3469503, lowerFade=False, pullback=True, dynamicMaxVwapDistance=18.35",0.80,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-25T07:31:00.5028150Z,0.497185,7485.0,7485.0,73.4,0.0,7500.0,15.0,7558.4,73.4,7490.0,5.0,0.9704462326,0.9647525212,5.0,True,allowed,,,,True,allowed,,,,,,-0.19870149481712887,True,True,True,True,,,True,7,-69.7,100.3,119.0,00:11:45,48,True,2.5,-1.5499999999992724,11.75,7.233333333333333,False,True,0.23333333333333334,1.4500000000007276,-1.5499999999992724,2.5,2.4,2.2000000000007276,True,False,10.983333333333333,1.2333333333333334,1.1363636363632605,0.6590909090910219,0.25,14.0,0.25,14.0,True,0.9833333333333333,1.2333333333333334,8.733333333333333,10.983333333333333,,,,1.4500000000007276,-0.25,2.5,-1.5499999999992724,2.5,-1.5499999999992724,2.5,-1.5499999999992724
13,14,2026-06-25T07:47:14+00:00,2026-06-25T07:59:14+00:00,2026-06-25T03:47:14.0000000,2026-06-25T03:59:14.0000000,34.0,7440.6,7441.6,7441.6,34.0,720.0,12.0,2026-06-25T07:47:14+00:00,0.0,7440.25,7487.84431661855,46.40914171967539,12.26504404372784,-47.59431661854978,7487.75,7479.893711582053,0.039958102988001364,-0.028333897071039296,True,True,True,1411.0,7495.75,8.0,16.4833333333333,-0.9486815415674228,-2.7383260802220506,True,4.25,True,True,4.0,1074.0,True,9.75,False,-3.5,True,4.5,True,0.09007894940385892,True,7.8562884179476775,True,True,553.0,3.8610047748415246,7.8562884179476775,True,7.856288417947326,101027.0,,disabled,,38.0,0.0,3.4073132645791957,7443.7,50.55451532418982,True,0.0,3.0,True,ES structure higher-high -3.50 < 0.00; ADX slope -2.7383 <= -1.0000; ADX 12.27 <= 18.00,0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,pullback_long,pullback_long,True,True,"VALID_0DTE ordered router; ordered ES pullback: trendPrice=7487.75, ema=7487.84, distance=7.86, adx=12.27, rsi=46.41, structure=4",0.90,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-25T07:47:13.7437170Z,0.256283,7485.75,7485.0,72.75,0.01030927835,7500.0,14.25,7558.5,72.75,7490.0,4.25,0.9705419705,0.9646928172,4.25,True,allowed,,,,True,allowed,,,,,,-0.09431661854994353,True,True,True,True,,,True,7,-49.3,56.1,81.6,00:12:00,50,True,1.5499999999992724,-1.3500000000003638,11.766666666666667,8.766666666666667,False,True,0.26666666666666666,0.9499999999998181,-1.3500000000003638,1.5499999999992724,3.4073132645791957,3.0999999999994543,False,False,,,0.4999999999998533,0.3064516129032211,-0.3500000000003638,1.0,-0.3500000000003638,1.0,False,1.0166666666666666,11.266666666666667,11.766666666666667,,,,,0.9499999999998181,-0.9500000000007276,1.5499999999992724,-1.3500000000003638,1.5499999999992724,-1.3500000000003638,1.5499999999992724,-1.3500000000003638
15,16,2026-06-25T07:59:52+00:00,2026-06-25T12:30:36+00:00,2026-06-25T03:59:52.0000000,2026-06-25T08:30:36.0000000,34.0,7442.9,7446.2,7446.2,112.20000000000618,16244.0,270.73333333333335,2026-06-25T07:59:52+00:00,0.0,7442.55,7486.719179172123,39.84077671836545,32.436063909358246,-44.16917917212322,7486.5,7480.26661907969,0.018522166064914282,-0.010437499177860592,True,True,True,1558.0,7495.75,9.25,29.1166666666667,4.033055157626151,7.631551703590912,True,1.5,True,True,4.0,987.0,True,1.5,False,-2.25,True,3.75,True,0.03459389671232016,True,6.233380920309995,True,True,445.0,4.748640050974313,6.233380920309995,True,6.233380920310083,105421.0,,disabled,,38.0,0.0,3.2699670004593955,7445.8,53.616171861066405,True,0.0,2.0,True,ES structure higher-high -2.25 < 0.00; RSI 39.84 <= 45.00,0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,pullback_long,pullback_long,True,True,"VALID_0DTE ordered router; ordered ES pullback: trendPrice=7486.50, ema=7486.72, distance=6.23, adx=32.44, rsi=39.84, structure=4",0.90,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-25T07:59:51.2547910Z,0.745209,7488.25,7490.0,74.575,-0.02346630908,7500.0,11.75,7562.825,74.575,7490.0,1.75,0.9689835049,0.963099692,1.75,True,allowed,,,,True,allowed,,,,,,-0.21917917212309684,True,True,True,True,,,True,7,-552.5,112.2,646.0,04:30:44,1084,True,3.300000000000182,-16.25,270.73333333333335,210.63333333333333,False,True,1.1333333333333333,2.25,-16.25,3.300000000000182,3.2699670004593955,2.9000000000005457,True,False,270.73333333333335,2.3833333333333333,1.1379310344826072,0.7758620689653712,-0.25,8.0,-0.25,8.0,False,1.1333333333333333,2.3833333333333333,2.3833333333333333,2.3833333333333333,270.73333333333335,,,2.25,-2.5499999999992724,2.25,-3.75,2.25,-7.75,2.25,-12.549999999999272
17,18,2026-06-25T13:19:34+00:00,2026-06-25T13:25:51+00:00,2026-06-25T09:19:34.0000000,2026-06-25T09:25:51.0000000,34.0,7435.6,7438.7,7438.7,105.39999999998145,377.0,6.283333333333333,2026-06-25T13:19:34+00:00,0.0,7435.35,7446.645904561327,42.6703581157522,39.89467022479399,-11.295904561327006,7446.0,7441.834513133814,-0.01073864885649523,0.013543216406389825,True,True,True,1787.0,7448.25,2.25,0.283333333333333,-3.097231574710949,2.233158746972579,True,21.5,True,True,4.0,1194.0,True,15.75,True,17.75,True,2.25,False,-0.03729218361957205,True,4.165486866186272,True,True,597.0,-17.396346600379108,4.165486866186272,True,4.1654868661862565,1168206.0,,disabled,,38.0,0.0,3.0732907468898634,7438.4,55.46770173563759,True,0.0,2.0,True,RSI slope -3.0972 <= -2.0000; RSI 42.67 <= 45.00,0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,pullback_long,pullback_long,True,True,"VALID_0DTE ordered router; ordered ES pullback: trendPrice=7446.00, ema=7446.65, distance=4.17, adx=39.89, rsi=42.67, structure=4",0.90,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-25T13:19:30.7456170Z,3.254383,7481.0,7480.0,70.6,0.01416430595,7500.0,19.0,7551.6,70.6,7500.0,19.0,0.9651254954,0.9701167356,19.0,True,allowed,,,,True,allowed,,,,,,-0.6459045613274378,True,True,True,True,,,True,13,-49.3,144.5,108.8,00:06:17,26,True,3.0999999999994543,-1.4500000000007276,6.283333333333333,4.933333333333334,False,True,0.18333333333333332,1.5499999999992724,-1.4500000000007276,3.0999999999994543,3.0732907468898634,2.7999999999992724,True,False,6.283333333333333,3.433333333333333,1.10714285714295,0.5535714285713126,0.5499999999992724,11.0,0.5499999999992724,11.0,True,0.18333333333333332,3.183333333333333,3.683333333333333,5.933333333333334,6.283333333333333,,,1.5499999999992724,-1.4500000000007276,3.0999999999994543,-1.4500000000007276,3.0999999999994543,-1.4500000000007276,3.0999999999994543,-1.4500000000007276
19,20,2026-06-25T13:26:11+00:00,2026-06-25T13:30:06+00:00,2026-06-25T09:26:11.0000000,2026-06-25T09:30:06.0000000,34.0,7440.9,7444.6,7444.6,125.80000000002474,235.0,3.9166666666666665,2026-06-25T13:26:11+00:00,0.0,7440.55,7450.560659145259,44.98747117413273,43.626537928781815,-10.010659145258614,7450.25,7441.876422648866,0.006367557491661104,0.010114384136278678,True,True,True,1792.0,7452.25,2.0,0.1,0.35019340932703186,0.564010232340728,True,21.0,True,True,4.0,1194.0,True,11.75,True,17.5,True,2.0,False,-0.012703932708225384,True,8.373577351134445,True,True,601.0,-12.613318994630337,8.373577351134445,True,8.373577351134372,1183971.0,,disabled,,38.0,0.0,3.6,7444.2,62.02119367936325,True,0.11228853774240269,1.0,True,RSI 44.99 <= 45.00,0.0,True,standard,1.0,VALID_0DTE,VALID_0DTE,True,False,False,valid 0DTE option strike map; option IV module disabled,pullback_long,pullback_long,True,True,"VALID_0DTE ordered router; ordered ES pullback: trendPrice=7450.25, ema=7450.56, distance=8.37, adx=43.63, rsi=44.99, structure=4",0.90,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,disabled,2026-06-25T13:26:06.9983010Z,4.001699,7486.5,7485.0,127.25,0.01178781925,7500.0,13.5,7613.75,127.25,7500.0,13.5,0.9651681537,0.9690943081,13.5,True,allowed,,,,True,allowed,,,,,,-0.31065914525905847,True,True,True,True,,,True,13,-59.5,125.8,119.0,00:03:55,17,True,3.7000000000007276,-1.25,3.9166666666666665,2.566666666666667,False,True,0.8166666666666667,1.25,-1.25,3.7000000000007276,3.6,3.300000000000182,True,False,3.9166666666666665,3.9166666666666665,1.1212121212122799,0.3787878787878579,-0.3499999999994543,4.0,-0.3499999999994543,4.0,False,1.0666666666666667,1.3166666666666667,3.9166666666666665,3.9166666666666665,3.9166666666666665,,,3.7000000000007276,-1.25,3.7000000000007276,-1.25,3.7000000000007276,-1.25,3.7000000000007276,-1.25
